BusinessName,BusinessType,AddressLine1,PostCode,lon,lat,RatingValue,FHRSID
BBC Club,Restaurant/Cafe/Canteen,BROADCASTING HOUSE PORTLAND PLACE,W1A 1AA,-0.1440114,51.5187466,5,1702976
Be At One,Restaurant/Cafe/Canteen,23 WELLINGTON STREET,WC2E 7DA,-0.1201987,51.5117668,5,412217
Be At One,Restaurant/Cafe/Canteen,BASEMENT 26 RUSSELL STREET,WC2B 5HF,-0.1210609,51.5128777,5,414125
Be At One Greek Street,Restaurant/Cafe/Canteen,16-17 GREEK STREET,W1D 4DR,-0.1306374,51.5141188,5,413787
Beany Green - Southbank,Restaurant/Cafe/Canteen,Cafe Kiosk Outside Royal Festival Hall,SE1 8XX,-0.1179573,51.5056794,5,1939853
Bear & Staff Public House,Restaurant/Cafe/Canteen,10-12 BEAR STREET,WC2H 7AX,-0.1287248,51.510851,5,428024
Bebe Bob,Restaurant/Cafe/Canteen,37-38 GOLDEN SQUARE,W1F 9LB,-0.1373502,51.5120854,5,1709673
Beboz Italian Street Food,Restaurant/Cafe/Canteen,,WC2B 6EY,-0.1189611,51.5159196,5,1616563
Bechstein Hall,Restaurant/Cafe/Canteen,22 WIGMORE STREET,W1U 2RH,-0.1473486,51.516785,5,1753472
Beijing Dumpling,Restaurant/Cafe/Canteen,BASEMENT AND GROUND FLOOR 23 LISLE STREET,WC2H 7BA,-0.1301315,51.5116917,5,412979
BEIRUT GARDEN,Takeaway/sandwich shop,,WC2H 8EB,-0.1260012,51.5164639,5,1299903
Beiteddine Express,Restaurant/Cafe/Canteen,GROUND FLOOR 19 CLARGES STREET,W1J 8AG,-0.1454602,51.5072139,5,410853
Bella Italia,Restaurant/Cafe/Canteen,10 IRVING STREET,WC2H 7AT,-0.1287303,51.5100147,5,411514
Bella Italia,Restaurant/Cafe/Canteen,UNIT 5 65-72 STRAND,WC2N 5LR,-0.1227317,51.509748,5,785201
Bella Italia,Restaurant/Cafe/Canteen,63 SHAFTESBURY AVENUE,W1D 6LQ,-0.1321162,51.512146,5,411759
Bella Italia,Restaurant/Cafe/Canteen,70 ST MARTIN'S LANE,WC2N 4JS,-0.1269482,51.5116499,5,411985
Bella Italia also t/a Super Nonna & Mac n Shack,Restaurant/Cafe/Canteen,28 WELLINGTON STREET,WC2E 7BD,-0.1205092,51.5122754,5,412221
Bellamy'S Restaurant And Delicatessen,Restaurant/Cafe/Canteen,18-18A BRUTON PLACE,W1J 6LY,-0.1445733,51.5113096,5,413330
Ben And Jerrys,Takeaway/sandwich shop,BASEMENT AND GROUND FLOOR 74 WARDOUR STREET,W1F 0TE,-0.1335226,51.5129957,5,988461
Ben's Cookies,Restaurant/Cafe/Canteen,13A THE MARKET,WC2E 8HD,-0.1224447,51.5121715,5,413555
Ben's Cookies,Restaurant/Cafe/Canteen,355-361 OXFORD STREET,W1C 2JQ,-0.1480521,51.5143681,5,1253764
Ben's Cookies,Restaurant/Cafe/Canteen,BASEMENT AND GROUND FLOOR 139 OXFORD STREET,W1D 2JB,-0.1364238,51.5157127,5,414767
Ben's Cookies,Restaurant/Cafe/Canteen,,WC1N 1AE,-0.1239114,51.5241733,5,1026328
Ben's Cookies,Restaurant/Cafe/Canteen,31 COVENTRY STREET,W1D 6AS,-0.1317716,51.5100003,5,1907895
