rider_id,origin_node,elapsed_s,time_budget_s,overdue,distance_m,pavement_time_s,red_light_violations,pavement_conflicts,pavement_risk_exposure,severe_conflicts
119,742854915,455.0,381.217937042776,True,1687.673003369489,185.0,2,4,3.7427833781975903,0
256,5932875003,460.0,348.9633725466297,True,1484.4692470437672,260.0,7,13,18.375605614802044,0
159,298205891,460.0,368.85596024493515,True,1609.7925495430925,200.0,3,2,5.088679208012279,0
67,9512926,460.0,372.27831996044716,True,1631.3534157508168,195.0,5,6,6.992929549244663,0
58,3442281746,460.0,374.911807319888,True,1647.9443861152938,195.0,3,4,5.775818018170417,1
161,109838,470.0,360.49127236977364,True,1557.0950159295742,215.0,4,5,7.217541042499106,0
100,21665582,470.0,370.1565883819114,True,1617.986506806041,210.0,6,6,8.575285290153277,0
14,9512933,475.0,347.8573045548333,True,1477.5010186954505,290.0,3,25,20.251574451987615,0
71,108045,475.0,391.4112904202463,True,1751.8911296475517,200.0,5,5,5.035146486788915,0
116,25495513,475.0,363.32288787512124,True,1574.9341936132637,220.0,8,23,32.38074823973026,6
219,10845640242,475.0,375.8650809581115,True,1653.9500100361024,210.0,0,10,7.868046944453824,0
254,9513010,480.0,389.84067669500644,True,1741.99626317854,205.0,7,6,4.347958353990499,0
294,21665912,480.0,334.90562923895965,True,1395.9054642054455,305.0,4,17,14.430768206258035,0
169,6477034137,480.0,384.87153867059135,True,1710.690693624727,210.0,5,10,7.027975679017581,0
173,25532844,480.0,394.22074988974475,True,1769.5907243053925,200.0,3,4,2.363635827952615,0
276,101999,485.0,368.3924477478659,True,1606.8724208115543,225.0,3,16,15.608800083751394,6
167,1684410040,490.0,391.7248857609157,True,1753.8667802937682,215.0,8,13,15.905283184212893,0
213,194250,490.0,384.7349113288748,True,1709.829941371911,220.0,4,6,8.728935414770122,0
86,107319,490.0,381.77384482850846,True,1691.175222419603,220.0,6,10,9.164955711028673,0
110,2191480791,490.0,354.4976505909837,True,1519.335198723197,340.0,2,26,36.756467471211145,18
94,9791497,490.0,390.34216130013914,True,1745.1556161908775,215.0,1,26,45.514839904010344,18
25,499122580,490.0,397.60717809327014,True,1790.9252219876025,210.0,7,2,4.678078718806026,0
41,25544119,460.0,365.8907866241562,True,1591.1119557321833,200.0,9,22,24.45161920807186,0
108,6089552096,495.0,393.80694187264675,True,1766.983733797675,215.0,3,1,3.1399379330390387,0
221,21665000,495.0,336.20473258672786,True,1404.089815296385,355.0,8,18,24.798599281321152,5
89,107800,495.0,332.3641382754101,True,1379.894071135084,345.0,2,33,35.95662011704505,0
251,454373621,380.0,329.8470952014265,True,1364.0366997689864,145.0,1,5,3.05221201388574,0
97,11329900032,290.0,266.377253900493,True,964.1766995731058,100.0,3,8,9.902277542497147,0
1,107812,510.0,380.9040180071646,True,1685.695313445135,240.0,5,27,32.697935513612734,2
268,25502544,510.0,381.22836836922505,True,1687.7387207261186,265.0,4,16,16.43209259832903,0
222,21665590,270.0,259.20307075189146,True,918.9793457369157,85.0,4,4,4.691033057707196,1
149,380496980,110.0,152.07138419750598,False,244.04972044428763,25.0,0,5,2.4496608897335523,0
277,26652117,515.0,406.9960706780568,True,1850.0752452717584,230.0,4,3,4.505875440655319,0
88,6173783039,345.0,305.1699135509801,True,1208.5704553711744,130.0,4,8,7.615234556642287,0
259,25257043,530.0,398.83914424681615,True,1798.6866087549415,250.0,2,8,12.042041185741105,0
200,500486430,530.0,363.12029771235035,True,1573.6578755878077,375.0,3,20,26.37111738143175,5
164,1614949613,535.0,422.63351351271507,True,1948.5911351301058,235.0,5,19,15.393107927011428,0
236,25471089,540.0,420.34225557101024,True,1934.1562100973642,245.0,7,5,5.337403957337314,0
232,1685938739,215.0,222.15519924751086,False,685.5777552593188,55.0,1,3,5.515064206718275,0
40,25257309,540.0,417.3098384939005,True,1915.0519825115725,245.0,7,23,26.869412912654855,0
262,454212847,545.0,433.2702539531579,True,2015.6025999048932,240.0,5,3,3.5797570864336468,0
70,14017207476,545.0,432.94251425059826,True,2013.5378397787692,240.0,6,3,4.5250764239429,0
69,2129184256,550.0,429.50589833222784,True,1991.887159493035,245.0,4,2,4.126973372986933,0
106,972535572,550.0,419.14279138086073,True,1926.5995856994239,255.0,2,26,26.028886391251152,5
63,14791174,550.0,425.9624742106403,True,1969.563587527034,250.0,5,7,9.214027705860017,0
223,11505302188,555.0,444.0857684008743,True,2083.74034092551,240.0,3,10,12.774146294345577,0
206,9515387,555.0,434.4136219062671,True,2022.8058180094833,250.0,4,7,4.630875042911753,0
11,12955269409,560.0,395.9368425758822,True,1780.402108228058,280.0,6,19,18.997527295295317,6
120,21665911,355.0,308.66848019562235,True,1230.6114252324207,135.0,3,8,8.251902931134202,0
15,1678452758,565.0,427.12798467206335,True,1976.9063034340002,275.0,5,5,7.683579390479454,0
157,25626680,570.0,430.409893932538,True,1997.5823317749898,265.0,6,17,14.100384688885622,6
126,2624195128,570.0,441.9427302160982,True,2070.2392003614177,260.0,5,10,7.838456184362558,0
141,2784682598,580.0,444.50107779864226,True,2086.3567901314455,265.0,4,6,5.985524134869927,0
239,742854915,250.0,249.09091857571303,False,855.2727870269919,75.0,2,1,1.310974822290997,0
189,1678452807,580.0,441.8224005719906,True,2069.4811236035407,295.0,7,18,15.68293752530975,0
234,1938580083,580.0,453.7851131400731,True,2144.846212782461,260.0,8,13,9.393639989017208,0
10,970857026,585.0,451.01840892066457,True,2127.4159762001864,265.0,7,4,4.753423994412952,0
137,9620045688,585.0,450.2697662856677,True,2122.6995275997074,265.0,2,6,6.7473163832407845,0
111,266481798,590.0,455.18141203771285,True,2153.6428958375914,270.0,3,8,8.365751228437972,0
45,25472680,590.0,424.5298711884667,True,1960.5381884873407,290.0,13,16,17.34142263658997,0
288,26699545,590.0,422.5345121826486,True,1947.9674267506866,290.0,8,25,24.750492090434545,0
279,21665911,365.0,315.5778026958355,True,1274.1401569837642,140.0,6,8,8.336651082202275,0
291,9512926,595.0,451.40806201251036,True,2129.8707906788145,275.0,5,5,4.482994023074652,0
289,12398519156,595.0,417.02563974432644,True,1913.2615303892578,300.0,2,19,15.353618874348363,0
110,4702603653,100.0,163.8198310819844,False,318.06493581650165,0.0,0,0,0.0,0
263,107793,600.0,432.2897669829095,True,2009.4255319923302,300.0,5,9,10.161824851206662,0
165,25502544,600.0,447.23888116377,True,2103.604951331752,310.0,2,13,17.141607515551716,0
37,806821396,600.0,457.963897533997,True,2171.1725544641818,275.0,8,5,3.653258981012928,0
78,25502545,605.0,447.5509763974886,True,2105.5711513041792,335.0,6,6,9.931187688017493,0
133,9371260474,605.0,466.6242219684963,True,2225.732598401528,275.0,3,3,4.290200366860325,0
