collision_index,longitude,latitude,collision_severity,collision_year
2023010468004,-0.201803,51.523612,3,2023
2024010546559,-0.18985,51.53524,2,2024
2023351345050,0.337734,52.333181,2,2023
2022302200795,-1.518779,52.974497,3,2022
2023302300731,-1.352882,53.013568,3,2023
2023501284659,-3.525042,50.733382,3,2023
2022421225101,0.928094,51.878484,3,2022
2022531230752,-2.238073,51.861271,3,2022
2023531285890,-1.779331,52.051398,2,2023
2022411284004,-0.345162,51.732442,3,2022
2022461140811,1.414361,51.362163,3,2022
2022461156647,1.400193,51.223428,3,2022
2023041319852,-2.290072,53.718802,2,2023
2024041551066,-2.70254,53.68993,3,2024
2024320230672,0.33664,53.14409,3,2024
2024361430821,1.25181,52.76943,3,2024
2022371226736,1.153933,52.051157,3,2022
2022451235976,-0.435143,51.392567,3,2022
2023231346750,-1.712592,52.497083,2,2023
2022471154036,-0.368823,50.815087,3,2022
2024991470876,-4.72951,55.64869,3,2024
2023991307140,-4.005677,55.725138,3,2023
2024991499563,-3.87513,55.75534,3,2024
2023991314320,-3.286144,55.955759,3,2023
2022991140548,-4.264043,55.839291,2,2022
202360A010468,-4.632055,53.306006,2,2023
2022622300134,-3.165809,51.464723,3,2022
2023610052723,-3.06154,51.551414,1,2023
2022070293777,-2.47741,53.380821,3,2022
2022041149418,-3.033586,53.822689,2,2022
2022161250400,-0.420811,53.753245,2,2022
2024161425955,-0.06495,53.56716,3,2024
2022122200988,-1.085938,53.974197,3,2022
2022332201098,-1.130347,52.636452,3,2022
2024332400804,-0.62525,52.71904,3,2024
2023311354129,-1.156494,52.958941,3,2023
2022221160345,-2.458659,52.680879,3,2022
2022522204232,-2.594012,51.443919,3,2022
2024522402944,-2.91165,51.33852,3,2024
2022547012622,-1.769128,51.58426,3,2022
2023351349472,-0.238389,52.578546,3,2023
2023421292224,0.690696,51.560213,2,2023
2023421371346,0.660117,51.567791,2,2023
2023461392748,0.502359,51.389191,3,2023
2022430379409,-0.794028,51.367523,3,2022
2022440262675,-1.078549,50.810206,2,2022
2022440090400,-1.422732,50.913951,3,2022
2022440198210,-1.403579,50.912227,2,2022
2022540497922,-2.212239,51.319718,3,2022
2024401425275,-0.47176,52.13618,1,2024
2024552400800,-1.79759,50.73387,3,2024
2023552301137,-2.484514,50.605867,3,2023
2022340NNC172,-0.609217,52.29292,2,2022
2024340NN0392,-0.70354,52.48767,3,2024
202234WNC8732,-0.897462,52.219532,2,2022
2024061471354,-2.41437,53.56534,3,2024
2024061407797,-2.15257,53.45771,2,2024
2022141224223,-1.124032,53.52972,3,2022
2022141208665,-1.341455,53.50334,2,2022
2023201376463,-1.808579,52.566625,2,2023
2024201431672,-1.87305,52.45052,2,2024
2022201260387,-1.509619,52.410507,2,2022
2022201262381,-2.086565,52.510705,3,2022
2024201477770,-2.10639,52.49105,3,2024
2024201511581,-1.95907,52.48886,3,2024
2024201526117,-1.9843,52.54266,3,2024
2023201422508,-2.039707,52.588869,3,2023
2022131178323,-1.882583,53.714251,3,2022
2023131326372,-1.759107,53.670052,2,2023
2024131410650,-1.60521,53.74241,3,2024
2023131260144,-1.50286,53.689127,2,2023
