"count_point_id","region_id","region_name","local_authority_id","local_authority_name","road_name","road_type","start_junction_road_name","end_junction_road_name","easting","northing","latitude","longitude","link_length_km","link_length_miles"
48613,6,"London",109,"Westminster","A4","Major","A301","Strand",530840,181050,51.51323465,-0.11584356,0.2,0.1
48821,6,"London",109,"Westminster","A3213","Major","A3214","A202",529300,178500,51.49067223,-0.13895830,1.3,0.8
56117,6,"London",109,"Westminster","A4","Major","Aldwych","Aldwych",530810,180940,51.51225304,-0.11631644,0.4,0.2
56431,6,"London",109,"Westminster","A40","Major","Regent St","Great Portland St",529080,181250,51.51543647,-0.14111949,0.1,0.1
56433,6,"London",109,"Westminster","A3214","Major","A3213","Victoria St",528800,179000,51.49527970,-0.14597390,0.3,0.2
56592,6,"London",109,"Westminster","A202","Major","A3212","LA Boundary",530100,178200,51.48779286,-0.12755215,0.2,0.1
56625,6,"London",109,"Westminster","A40","Major","Marble Arch","A41 Portman St",528000,181020,51.51361495,-0.15675904,0.3,0.2
56890,6,"London",109,"Westminster","A302","Major","Bressenden Place","Parliament Square",530000,179550,51.49994809,-0.12849467,1.2,0.7
57536,6,"London",109,"Westminster","A302","Major","Wilton Rd/Vauxhall Bridge Rd","Buckingham Palace Rd",528947,179161,51.49669312,-0.14379869,0.2,0.1
57537,6,"London",109,"Westminster","A501","Major","A41","A41",527862,181939,51.52190520,-0.15841341,0.2,0.1
57910,6,"London",109,"Westminster","A202","Major","Vauxhall Bridge Rd","Victoria St/Vauxhall Bridge Rd",529040,178950,51.49477568,-0.14253683,0.3,0.2
58136,6,"London",109,"Westminster","A4","Major","Waterloo Pl","Cockspur St",529750,180380,51.50746457,-0.13178914,0.1,0.1
58172,6,"London",109,"Westminster","A202","Major","Wilton Rd","A3213",529621,178557,51.49111106,-0.13431633,1,0.6
58173,6,"London",109,"Westminster","A4206","Major","Bishop's Bridge Road roundabout","Edgware Rd",526695,181684,51.51987622,-0.17531680,0.7,0.4
70181,6,"London",109,"Westminster","A501","Major","A4206","A5/A501",526950,181700,51.51996282,-0.17163769,0.2,0.1
70190,6,"London",109,"Westminster","A4201","Major","A40","A5204",529080,181350,51.51633516,-0.14108288,0.3,0.2
70191,6,"London",109,"Westminster","A5204","Major","A4201 Langham Place","A4201 Great Portland St",529000,181480,51.51752171,-0.14218764,0.1,0.1
70192,6,"London",109,"Westminster","A400","Major","Trafalgar Sq","A3211",530250,180330,51.50690032,-0.12460709,0.4,0.2
73225,6,"London",109,"Westminster","A4200","Major","A4","LA Boundary",530697,181140,51.51407653,-0.11786980,0.2,0.1
74534,6,"London",109,"Westminster","A40","Major","LA Boundary","A4206",525432,181677,51.52009490,-0.19351338,2,1.2
74971,6,"London",109,"Westminster","A302","Major","Buckingham Palace Rd/Victoria St","lower Grosvenor Place",528737,179285,51.49785532,-0.14677700,0.3,0.2
74972,6,"London",109,"Westminster","A5","Major","A40","Praed St",527100,181660,51.51956964,-0.16949131,0.1,0.1
74973,6,"London",109,"Westminster","A41","Major","Gloucester Place","Baker St",528050,181300,51.51611998,-0.15593720,0.2,0.1
74974,6,"London",109,"Westminster","A41","Major","Gloucester Place","Baker St",527900,181810,51.52073729,-0.15791279,0.2,0.1
74975,6,"London",109,"Westminster","A4380","Major","Seymour St","Portman Sq (north)",528000,181230,51.51550221,-0.15668281,0.1,0.1
74976,6,"London",109,"Westminster","A41","Major","Portman Sq (north)","Wigmore St",528130,181300,51.51610186,-0.15478488,0.1,0.1
74977,6,"London",109,"Westminster","A4380","Major","York St","Marylebone Rd",527800,181860,51.52120925,-0.15933521,0.1,0.1
74978,6,"London",109,"Westminster","A41","Major","Marylebone Rd","York St",527950,181900,51.52153480,-0.15715985,0.1,0.1
80694,6,"London",109,"Westminster","A4","Major","Haymarket","Trafalgar Square",529900,180470,51.50823896,-0.12959584,0.3,0.2
81117,6,"London",109,"Westminster","A301","Major","A4","A301",530630,180780,51.51085676,-0.11896814,0.2,0.1
81118,6,"London",109,"Westminster","A301","Major","A301","LA Boundary",530750,180580,51.50903167,-0.11731403,0.1,0.1
81119,6,"London",109,"Westminster","A301","Major","A301","LA Boundary",530649,180963,51.51249695,-0.11862671,0.7,0.4
89351,6,"London",109,"Westminster","A4205","Major","Eastbourne Terrace","A5",526873,181383,51.51713120,-0.17286097,0.7,0.4
89355,6,"London",109,"Westminster","A4206","Major","A4207","A4205",526045,181326,51.51680411,-0.18480831,1.3,0.8
90100,6,"London",109,"Westminster","A400","Major","A401","A40",529853,181239,51.51516064,-0.12998957,0.4,0.2
90168,6,"London",109,"Westminster","A4","Major","Waterloo Pl","Cockspur St",529750,180380,51.50746457,-0.13178914,0.1,0.1
93117,6,"London",109,"Westminster","A5","Major","A5204","Marble Arch",527700,181040,51.51386251,-0.16107277,0.2,0.1
93118,6,"London",109,"Westminster","A4","Major","Haymarket","Trafalgar Square",529900,180470,51.50823896,-0.12959584,0.3,0.2
93119,6,"London",109,"Westminster","A4","Major","Pall Mall","Northumberland ave",529930,180400,51.50760299,-0.12918958,0.3,0.2
93128,6,"London",109,"Westminster","A400","Major","Trafalgar Sq","A3211",530250,180330,51.50690032,-0.12460709,0.4,0.2
93176,6,"London",109,"Westminster","A301","Major","A4","A301",530630,180780,51.51085676,-0.11896814,0.2,0.1
94048,6,"London",109,"Westminster","A4","Major","Aldwych","LA Boundary",530978,181062,51.51331055,-0.11385153,0.2,0.1
94049,6,"London",109,"Westminster","A4","Major","Aldwych","LA Boundary",531000,181027,51.51299092,-0.11354766,0.3,0.2
94050,6,"London",109,"Westminster","A4","Major","A4200 Kingsway","Near St Clement Danes Church",530816,181057,51.51330311,-0.11618663,0.2,0.1
94224,6,"London",109,"Westminster","A4","Major","A301","A301/A4200",530668,181000,51.51282508,-0.11833936,0.3,0.2
96224,6,"London",109,"Westminster","A501","Major","A5/A4209","Intersection with Old Marylebone Road and Chapel Street",527340,181624,51.51919210,-0.16604707,0.3,0.2
96225,6,"London",109,"Westminster","A501","Major","Intersection with Old Marylebone Road and Chapel Street","A501 Merylebone Road (dual cwy)",527370,181750,51.52031771,-0.16556940,0.1,0.1
96226,6,"London",109,"Westminster","A501","Major","A5/A4205","Intersection with Old Marylebone Road and Chapel Street",527232,181670,51.51962982,-0.16758622,0.3,0.2
97180,6,"London",109,"Westminster","A3214","Major","A3213","Victoria St",528800,179000,51.49527970,-0.14597390,0.2,0.1
97181,6,"London",109,"Westminster","A302","Major","A3213","Victoria St",528737,179285,51.49785532,-0.14677700,0.1,0.1
